Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-11-26,2014,11,26,Wednesday,35.89,36.51,35.82,36.36,1041300,36.36,0.010000016954210045,34.577857142857134,35.64519999999997
2014-11-28,2014,11,28,Friday,36.5,37.15,36.28,36.8,526800,36.8,0.012101172148597739,34.83142857142856,35.61179999999997
2014-12-01,2014,12,1,Monday,36.72,36.75,35.91,36.44,1025200,36.44,-0.009782625484106355,35.04,35.58079999999997
2014-12-02,2014,12,2,Tuesday,36.37,36.5,35.3,35.93,1461800,35.93,-0.01399556368696997,35.16857142857142,35.58959999999997
2014-12-03,2014,12,3,Wednesday,36.06,36.86,35.16,36.08,1408500,36.08,0.004174826735453774,35.28071428571428,35.60479999999997
2014-12-04,2014,12,4,Thursday,35.71,35.75,33.76,34.05,1669300,34.05,-0.056263927133365144,35.257857142857134,35.56759999999996
2014-12-05,2014,12,5,Friday,34.23,34.83,34.03,34.49,824900,34.49,0.012922245264761933,35.302857142857135,35.56299999999997
2014-12-08,2014,12,8,Monday,34.44,34.44,33.67,33.74,1093600,33.74,-0.02174543240072524,35.279999999999994,35.54619999999997
2014-12-09,2014,12,9,Tuesday,33.4,34.31,32.84,34.29,1284900,34.29,0.01630110283638664,35.279285714285706,35.52479999999997
2014-12-10,2014,12,10,Wednesday,34.02,34.29,32.39,32.54,780300,32.54,-0.05103528589314088,35.11928571428571,35.490799999999965
2014-12-11,2014,12,11,Thursday,32.57,33.31,31.71,31.9,1468200,31.9,-0.019668140104190268,34.92999999999999,35.42779999999997
2014-12-12,2014,12,12,Friday,31.72,32.54,30.91,32.01,1264000,32.01,0.0034482352450886378,34.723571428571425,35.36619999999997
2014-12-15,2014,12,15,Monday,32.1,32.71,31.67,31.74,1001300,31.74,-0.008434819261874504,34.455,35.28899999999997
2014-12-16,2014,12,16,Tuesday,32.4,33.66,32.4,33.11,1697200,33.11,0.043163227760323775,34.24857142857143,35.23819999999997
2014-12-17,2014,12,17,Wednesday,33.0,34.29,33.0,33.96,1603800,33.96,0.02567195585781268,34.07714285714286,35.19339999999997
2014-12-18,2014,12,18,Thursday,34.34,36.02,34.15,35.28,3222000,35.28,0.03886925001207531,33.96857142857143,35.15679999999997
2014-12-19,2014,12,19,Friday,35.6,36.14,35.22,35.79,2415000,35.79,0.014455843363853749,33.92214285714286,35.13419999999997
2014-12-22,2014,12,22,Monday,35.75,36.09,35.34,35.54,766200,35.54,-0.006985191215559294,33.894285714285715,35.13799999999997
2014-12-23,2014,12,23,Tuesday,35.46,36.05,35.44,35.77,480500,35.77,0.006471568269877048,33.87214285714286,35.14659999999997
2014-12-24,2014,12,24,Wednesday,35.15,35.87,35.13,35.65,300200,35.65,-0.0033547366605839457,33.98642857142857,35.12739999999997
2014-12-26,2014,12,26,Friday,35.66,35.88,35.15,35.82,298700,35.82,0.0047685318841266255,34.08142857142857,35.10419999999997
2014-12-29,2014,12,29,Monday,35.81,36.02,35.17,35.91,343600,35.91,0.002512567095328544,34.23642857142857,35.08199999999997
2014-12-30,2014,12,30,Tuesday,35.77,36.37,35.25,35.87,665800,35.87,-0.0011139213505239054,34.349285714285706,35.05819999999997
2014-12-31,2014,12,31,Wednesday,36.5,36.74,35.55,36.32,2346300,36.32,0.012545324124318524,34.61928571428571,35.047399999999975
